5:26:08 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
5:26:13 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
5:26:13 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
5:27:07 PM | Request type:Remove Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avatar | Status: Success | Server Response: Movie slot removed
5:27:07 PM | Request type:Remove Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avatar | Status: Success | Server Response: Movie slot removed
5:33:30 PM | Request type:Remove Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avengers | Status: Failed | Server Response: Movie does not exist in the system
5:34:09 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
5:34:14 PM | Request type:Remove Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avengers | Status: Failed | Server Response: Movie does not exist in the system
5:34:15 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
6:17:29 PM | Request type:Remove Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avatar | Status: Failed | Server Response: Movie does not exist in the system
6:18:50 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
6:20:38 PM | Request type:Remove Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avatar | Status: Failed | Server Response: Movie does not exist in the system
6:20:38 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA100423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
11:17:01 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
11:18:26 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
11:22:12 PM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA110423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
